"ISO3","National Unit","Name","Admin Level","Metric","Units","Year","Value"
"BEN","Benin","Collines","admin1","Incidence Rate","Cases per Thousand",2012,348.18632323695
"BEN","Benin","Collines","admin1","Incidence Rate","Cases per Thousand",2013,391.25534100301
"BEN","Benin","Collines","admin1","Incidence Rate","Cases per Thousand",2014,420.32671154996297
"BEN","Benin","Collines","admin1","Incidence Rate","Cases per Thousand",2015,458.628093135418
"BEN","Benin","Collines","admin1","Incidence Rate","Cases per Thousand",2016,489.998689487394
"BEN","Benin","Collines","admin1","Incidence Rate","Cases per Thousand",2017,474.172799882769
"BEN","Benin","Collines","admin1","Incidence Rate","Cases per Thousand",2018,438.47071924421397
"BEN","Benin","Collines","admin1","Incidence Rate","Cases per Thousand",2019,414.643400496535
"BEN","Benin","Collines","admin1","Incidence Rate","Cases per Thousand",2020,385.385249584817
"BEN","Benin","Collines","admin1","Incidence Rate","Cases per Thousand",2021,383.462522636232
"BEN","Benin","Collines","admin1","Incidence Rate","Cases per Thousand",2022,432.338429417924
"BEN","Benin","Plateau","admin1","Incidence Rate","Cases per Thousand",2012,279.19687013532103
"BEN","Benin","Plateau","admin1","Incidence Rate","Cases per Thousand",2013,240.53020698097498
"BEN","Benin","Plateau","admin1","Incidence Rate","Cases per Thousand",2014,238.42742717837
"BEN","Benin","Plateau","admin1","Incidence Rate","Cases per Thousand",2015,277.89411846920495
"BEN","Benin","Plateau","admin1","Incidence Rate","Cases per Thousand",2016,338.744277087563
"BEN","Benin","Plateau","admin1","Incidence Rate","Cases per Thousand",2017,367.160991743896
"BEN","Benin","Plateau","admin1","Incidence Rate","Cases per Thousand",2018,386.64102038103397
"BEN","Benin","Plateau","admin1","Incidence Rate","Cases per Thousand",2019,408.123823442868
"BEN","Benin","Plateau","admin1","Incidence Rate","Cases per Thousand",2020,408.68369775683
"BEN","Benin","Plateau","admin1","Incidence Rate","Cases per Thousand",2021,417.677663834909
"BEN","Benin","Plateau","admin1","Incidence Rate","Cases per Thousand",2022,405.109449394196
"BEN","Benin","Borgou","admin1","Incidence Rate","Cases per Thousand",2012,422.86371367881
"BEN","Benin","Borgou","admin1","Incidence Rate","Cases per Thousand",2013,404.49187687394
"BEN","Benin","Borgou","admin1","Incidence Rate","Cases per Thousand",2014,407.488311963299
"BEN","Benin","Borgou","admin1","Incidence Rate","Cases per Thousand",2015,436.026991764233
"BEN","Benin","Borgou","admin1","Incidence Rate","Cases per Thousand",2016,465.211055291181
"BEN","Benin","Borgou","admin1","Incidence Rate","Cases per Thousand",2017,454.301879955612
"BEN","Benin","Borgou","admin1","Incidence Rate","Cases per Thousand",2018,423.856715665756
"BEN","Benin","Borgou","admin1","Incidence Rate","Cases per Thousand",2019,403.475675096409
