ISO3,National Unit,Name,Admin Level,Metric,Units,Year,ITN Access (%)
BEN,Benin,Collines,admin1,Access,in 100 people,2022,34.2781207
BEN,Benin,Plateau,admin1,Access,in 100 people,2022,37.02701997
BEN,Benin,Borgou,admin1,Access,in 100 people,2022,28.63452264
BEN,Benin,Littoral,admin1,Access,in 100 people,2022,28.1994114
BEN,Benin,Couffo,admin1,Access,in 100 people,2022,41.93876776
BEN,Benin,Zou,admin1,Access,in 100 people,2022,41.61700207
BEN,Benin,Atacora,admin1,Access,in 100 people,2022,30.56847824
BEN,Benin,Atlantique,admin1,Access,in 100 people,2022,34.66217797
BEN,Benin,Alibori,admin1,Access,in 100 people,2022,35.48959407
BEN,Benin,Mono,admin1,Access,in 100 people,2022,41.8943264
BEN,Benin,Donga,admin1,Access,in 100 people,2022,28.68742639
BEN,Benin,Oueme,admin1,Access,in 100 people,2022,29.90908815
